id,client_info,speech,option1_text,option1_score,option1_type,option1_feedback,option2_text,option2_score,option2_type,option2_feedback,option3_text,option3_score,option3_type,option3_feedback,option4_text,option4_score,option4_type,option4_feedback
1,30代女性・育児両立,復帰後、元の部署に戻りましたが両立が難しく周囲に申し訳ない。もう前のように働けないでしょうか。,ご自身を責めておられますが、部署の状況が変わったことへの戸惑いもあるのではないですか？,5,気付きの促進,単なる共感にとどまらず、状況変化への戸惑いという本質的な問題への気付きを促しています。,病児保育を使うなど具体的な両立対策を進めましょう。,-5,時期尚早な提案,感情整理の前に解決策を出すのは時期尚早です。,そうですか。両立は大変ですよね。,-5,不適切な相槌,悩みの深さに対して相槌が軽すぎます。,私も昔は両立で苦労しましたが、なんとかなりましたよ。,-5,余計な話,カウンセラーの自分語りは不要です。
2,50代男性・役職定年,役職定年になり、部下だった人が上司に。何のために働いているか分からなくなった。,今までの役割との違いに戸惑い、働く意味を見失っている状態なのですね。,5,適切,来談者の戸惑いと喪失感を受け止めています。,もう諦めて定年まで指示に従えばいいんじゃないですか？,-5,不適切な相槌,意欲を削ぐ無責任な相槌です。,新しい資格の取得などを目指してはどうですか？,-5,時期尚早な提案,内省の前に新しい提案をするのは避けます。,私の知人も役職定年で愚痴ばかり言っていましたが、それじゃ駄目ですよ。,-5,余計な話,他人の例を出して否定するのは説教に近くNGです。
3,20代男性・入社2年目,営業目標が達成できず、自分にはこの仕事が向いていない気がして辞めたいです。,目標未達の焦りから、ご自身のこれまで積み上げた営業スキルも否定してしまっていませんか？,5,気付きの促進,自信喪失で視野が狭くなっていることへの気付きを与え、客観視を促しています。,次の就職先を探した方がいいですよ。,-5,時期尚早な提案,辞める前提で時期尚早な提案をしています。,営業は誰でも最初は売れませんよ。,-5,不適切な相槌,悩みを一般化して軽視する相槌です。,私も2年目の頃は売れなくて、毎日怒られていました。,-5,余計な話,カウンセラーの昔話を語る必要はありません。
4,40代男性・中間管理職,部下の指導がうまくいかず悩んでいます。どう言っても響かず、嫌われているようです。,部下との関係が難しく、ご自身の関わり方に悩まれているのね。,5,適切,関係性の悩みと自分への視点を受け止めています。,部下を呼び出してしっかり話し合う時間を作りましょう。,-5,時期尚早な提案,具体的な指示をする前に部下の様子を聞くべきです。,そうですか、管理職は辛いですよね。,-5,不適切な相槌,表面的で相手の主体的な内省を促しません。,私の会社でも部下に嫌われている管理職が多くて困っていますよ。,-5,余計な話,他の会社のネガティブな例を出すのは余計です。
5,60代女性・再雇用,再雇用で残りましたが、若い上司から雑用ばかり頼まれてプライドが傷つきます。,今までのキャリアと異なる扱いに、複雑な思いを抱えているのですね。,5,適切,経験者としてのプライドと今の葛藤に共感しています。,再雇用なんだから雑用も仕事の一部だと割り切りましょう。,-5,不適切な相槌,説教的でクライアントに寄り添っていません。,上司の方に直接、仕事を相談されてはいかがですか？,-5,時期尚早な提案,関係が構築されていない段階で交渉を勧めるのは時期尚早です。,私の母も再雇用のときは同じように不満を言っていましたよ。,-5,余計な話,親族の例え話はキャリア相談には不要です。
6,30代男性・Uターン検討,地元に帰って親を安心させたいが、今の都会のキャリアを捨てるのが惜しい。,地元に戻りたい気持ちと、キャリアへの執着との間で揺れているのね。,5,適切,Uターンと現状維持の葛藤を適切に整理しています。,親御さんの介護が必要なら、すぐに戻るべきですよ。,-5,時期尚早な提案,動機が明確でないまま決断を促すのは拙速です。,都会も地元もどちらも良いところがありますよね。,-5,不適切な相槌,一般論で曖昧にいなす相槌です。,私も昔、Uターンを考えて結局やめた経緯があるんですよ。,-5,余計な話,不要なカウンセラーの自己開示です。
7,40代女性・パート,正社員になりたいが、ブランクもあり面接で落とされるのが怖くて応募できません。,地元に戻ることとキャリアを捨てることは、必ずしも二者択一ではないのかもしれませんね。,5,気付きの促進,極端な思考の枠組み（白黒思考）を外し、新たな選択肢の存在への気付きを促しています。,まずは履歴書の書き方を練習しましょう。,-5,時期尚早な提案,不安を解消する前にスキルの指導に入るのは時期尚早です。,そうですか、まあ応募しなければ始まりませんよ。,-5,不適切な相槌,突き放すような相槌であり対話を阻害します。,私の友人は45歳で正社員採用されましたから大丈夫ですよ。,-5,余計な話,友人の成功例で安易に励ますのは避けます。
8,50代女性・介護両立,親の介護が始まり、残業ができなくなった。周囲の目が気になります。,介護との両立で、周囲にどう思われているか不安なのですね。,5,適切,介護の負担と周囲への懸念に共感しています。,介護保険のサービスを早急に手配しましょう。,-5,時期尚早な提案,支援制度の提案の前に本人の気持ちを確認します。,なるほど。介護は大変ですね。,-5,不適切な相槌,他人事のような軽い相槌です。,介護離職は絶対に避けてくださいね。後悔しますよ。,-5,余計な話,一般的な警告や極端な未来の話をするのは余計です。
9,30代男性・異動内示,突然、未経験の部署への異動を命じられた。納得がいきません。,突然の異動で、気持ちの整理がつかない状態なのですね。,5,適切,納得いかない不満と動揺を受け止めています。,会社員である以上、人事異動は受け入れるしかありませんよ。,-5,不適切な相槌,会社の論理を押し付けるだけの冷たい対応です。,異動先の業務内容について詳しく調べてみてはどうですか？,-5,時期尚早な提案,感情が収まっていない状態での下調べ提案は不適切です。,私も以前、不本意な異動を経験し、腐っていた時期がありました。,-5,余計な話,カウンセラー自身の負の感情の体験談は余計です。
10,20代女性・技術職,営業へのジョブチェンジを打診されましたが、人見知りで絶対に無理です。,営業に向かないという思い込みの裏に、失敗への恐怖が隠れていることに気付かれましたか？,5,気付きの促進,表面的な苦手意識の奥にある、恐怖心という本質的な課題への直面化と気付きを促しています。,営業はコミュニケーション能力が鍛えられる良い機会ですよ。,-5,不適切な相槌,説得・説説得を始めており寄り添っていません。,人見知りを克服するセミナーを受講してみてはいかがですか？,-5,時期尚早な提案,本人の特性を否定し、外部の訓練を急に提案しています。,私も昔は人見知りでしたが、営業をやって克服できました。,-5,余計な話,成功アピールのような余計な自分語りです。
11,50代男性・資格取得,キャリアアップのために資格を取ったが、業務に全く活かせず焦っている。,せっかく努力して得た資格が活かせず、焦りを感じているのですね。,5,適切,努力の成果と現実のギャップへの焦りに共感しています。,その資格を活かせる他部署への異動希望を出しましょう。,-5,時期尚早な提案,状況整理の前にアクション（異動）を促すのは早急です。,資格なんてあっても実務ができないと意味ないですよね。,-5,不適切な相槌,相手の努力の結晶である資格を軽視するNG相槌です。,私の会社でも資格だけ取って仕事ができない人がいますよ。,-5,余計な話,他人の否定的な例を出すのは余計です。
12,40代男性・プレイングマネージャー,プレイングマネージャーとしての負荷が高く、自分の作業と部下管理でパンク寸前。,自分の業務とマネジメントの両立で、限界を感じておられる状況ですね。,5,適切,業務過多の深刻さを適切に受け止めています。,上司に相談して仕事を減らしてもらいましょう。,-5,時期尚早な提案,相談する前に現状のタスク切り分け等を共に行うべきです。,ふーん、それは忙しそうですね。,-5,不適切な相槌,関心がないような非常に軽い口調の相槌です。,今の時代、どこもマネージャーは同じように苦しんでいますよ。,-5,余計な話,一般論を持ち出して悩みを矮小化しています。
